"Region 2021","Degree of urbanisation, %, 2020","Population, 2021","Population change from the previous year, %, 2021","Share of persons aged under 15 of the population, %, 2021","Share of persons aged 15 to 64 of the population, %, 2021","Share of persons aged over 64 of the population, %, 2021","Share of Swedish-speakers of the population, %, 2021","Share of foreign citizens of the population, %, 2021","Excess of births, persons, 2021","Intermunicipal migration gain/loss, persons, 2021","Number of families, 2020","Number of household-dwelling units, 2021","Share of household-dwelling units living in terraced houses and detached houses, %, 2021","Share of household-dwelling units living in rental dwellings, %, 2020","Share of persons aged 15 or over with at least upper secondary qualifications, %, 2020","Share of persons aged 15 or over with tertiary level qualifications, %, 2020","Employed labour force resident in the area, 2020","Employment rate, %, 2020","Share of persons working in their municipality of residence, %, 2020","Proportion of the unemployed among the labour force, %, 2020","Proportion of pensioners of the population, %, 2020","Economic dependency ratio, 2020","Number of workplaces in the area, 2020","Share of workplaces in primary production, %, 2020","Share of workplaces in secondary production, %, 2020","Share of workplaces in services, %, 2020","Workplace self-sufficiency, 2020","Annual contribution margin, EUR per capita, 2020","Loan stock, EUR per capita, 2020","Group loan stock, EUR per capita, 2020","Educational and cultural activities, total, operating net costs, EUR per capita, 2020","Social and health care activities, total, operating net costs, EUR per capita, 2020"
"Kerava",99.8,37232,0.3,16.2,63.4,20.4,1.2,9.7,49,-54,9869,18760,35.2,38.6,71.4,31.4,16323,71.6,30.4,13.2,22.5,127.3,11455,0.3,25.1,73.0,70.2,454.3,1886.7,5548.7,1969.5,3195.2
"Keuruu",70.7,9443,-0.5,13.0,51.9,35.1,0.2,1.7,-106,53,2593,4950,66.2,25.1,70.7,23.7,3309,69.0,73.9,13.1,38.7,186.7,3236,4.6,29.1,64.8,97.8,762.4,6088.8,11664.7,2134.4,4172.3
"Kihniö",34.8,1808,-0.8,12.0,51.9,36.1,0.0,1.2,-12,-2,530,876,96.8,17.0,63.9,16.1,683,71.8,66.3,11.2,39.3,166.8,587,10.1,37.1,50.4,85.9,671.8,4394.1,5796.9,1397.9,4737.7
"Kinnula",52.9,1581,-1.0,18.0,48.1,34.0,0.1,0.6,-6,-11,422,696,96.3,17.0,60.6,17.1,493,64.8,72.2,16.3,38.9,223.9,438,21.0,9.4,67.1,88.8,323.7,3757.0,6947.4,1993.7,5031.9
"Kirkkonummi",90.1,40433,0.9,18.5,64.1,17.4,15.7,7.1,129,104,11173,17879,65.9,27.6,73.9,39.6,18373,75.7,31.3,10.3,19.1,118.2,10629,0.9,19.4,77.4,57.9,638.9,5278.6,7173.6,2355.9,2920.2
"Kitee",53.9,9877,-0.6,11.0,51.1,37.9,0.0,3.6,-120,-10,2781,5197,76.8,23.2,68.7,20.2,3105,62.0,78.9,19.2,42.6,219.9,3101,11.8,22.6,63.7,99.9,687.4,432.2,2109.7,1813.5,4619.1
"Kittilä",58.6,6523,1.4,14.8,63.3,21.8,0.3,3.2,-19,91,1594,2887,84.0,31.1,75.3,23.5,2922,73.8,87.4,14.3,24.9,120.3,3347,3.6,25.6,69.4,114.5,1311.1,1978.6,8125.1,2727.2,4512.9
"Kiuruvesi",50.4,7759,-1.2,14.3,53.7,32.0,0.0,1.3,-55,-50,2086,3947,81.7,26.6,68.9,18.4,2736,66.6,70.9,16.5,36.6,187.1,2328,24.7,13.7,60.0,85.1,936.2,4042.1,7096.4,1943.5,4794.0
"Kivijärvi",52.7,1088,-1.7,13.4,48.4,38.1,0.0,2.0,-24,3,299,533,90.6,17.5,60.1,12.6,348,66.0,55.5,13.9,43.7,218.1,240,15.4,16.3,65.8,69.0,1217.7,4774.2,10299.0,1759.7,5103.9
"Kokemäki",59.5,6951,-0.9,12.5,56.1,31.4,0.2,2.8,-66,-13,1969,3607,87.2,19.6,68.3,21.8,2619,68.5,55.1,12.7,35.5,167.8,2316,7.6,26.0,64.6,88.4,804.1,3403.3,5097.4,1692.7,4091.0
