"Region 2021","Degree of urbanisation, %, 2020","Population, 2021","Population change from the previous year, %, 2021","Share of persons aged under 15 of the population, %, 2021","Share of persons aged 15 to 64 of the population, %, 2021","Share of persons aged over 64 of the population, %, 2021","Share of Swedish-speakers of the population, %, 2021","Share of foreign citizens of the population, %, 2021","Excess of births, persons, 2021","Intermunicipal migration gain/loss, persons, 2021","Number of families, 2020","Number of household-dwelling units, 2021","Share of household-dwelling units living in terraced houses and detached houses, %, 2021","Share of household-dwelling units living in rental dwellings, %, 2020","Share of persons aged 15 or over with at least upper secondary qualifications, %, 2020","Share of persons aged 15 or over with tertiary level qualifications, %, 2020","Employed labour force resident in the area, 2020","Employment rate, %, 2020","Share of persons working in their municipality of residence, %, 2020","Proportion of the unemployed among the labour force, %, 2020","Proportion of pensioners of the population, %, 2020","Economic dependency ratio, 2020","Number of workplaces in the area, 2020","Share of workplaces in primary production, %, 2020","Share of workplaces in secondary production, %, 2020","Share of workplaces in services, %, 2020","Workplace self-sufficiency, 2020","Annual contribution margin, EUR per capita, 2020","Loan stock, EUR per capita, 2020","Group loan stock, EUR per capita, 2020","Educational and cultural activities, total, operating net costs, EUR per capita, 2020","Social and health care activities, total, operating net costs, EUR per capita, 2020"
"Pornainen",67.1,5066,-0.1,19.0,63.9,17.1,2.3,2.3,14,-24,1440,2018,93.8,8.9,71.5,25.5,2382,79.4,25.7,9.1,18.7,112.8,1015,8.4,15.3,73.1,42.6,607.7,1869.2,2283.8,2235.1,2925.8
"Porvoo",84.9,51149,1.0,16.6,61.2,22.2,28.3,5.1,-57,419,14009,24219,57.4,28.8,72.2,33.6,21663,73.2,62.7,12.4,24.7,133.7,20198,1.1,30.4,67.0,93.2,1112.2,3067.6,6879.3,2319.0,3343.9
"Posio",41.6,3066,-1.6,7.9,50.5,41.6,0.1,1.4,-55,7,894,1549,90.3,19.1,65.0,17.1,972,62.8,79.8,17.5,47.8,220.7,891,20.0,12.3,65.2,91.7,529.4,3326.9,5305.1,1700.4,6136.3
"Pudasjärvi",50.6,7702,-1.0,15.2,51.4,33.4,0.1,1.9,-69,-55,1963,3749,87.2,24.4,65.7,16.5,2428,62.4,79.4,17.3,39.0,220.4,2394,11.0,19.2,68.2,98.6,498.0,4706.0,9671.7,2444.5,4858.3
"Pukkila",40.9,1848,0.8,14.9,61.4,23.8,0.8,2.5,-10,25,516,863,96.5,17.2,69.8,20.1,784,74.0,36.5,12.6,27.2,133.8,489,14.9,24.3,57.7,62.4,371.0,3172.9,3506.3,1892.5,3463.2
"Punkalaidun",41.5,2721,-2.3,12.2,51.0,36.7,0.0,1.6,-46,-20,738,1404,92.3,17.1,66.0,20.4,979,71.1,59.0,10.4,40.2,184.5,818,26.2,21.3,50.4,83.6,735.7,2913.8,3916.7,1875.8,4381.3
"Puolanka",56.5,2446,-1.8,8.7,50.0,41.3,0.2,1.6,-38,-9,679,1334,91.0,23.0,64.6,17.6,768,59.8,75.3,17.9,46.8,224.3,685,21.0,8.3,69.6,89.2,933.4,1866.7,5839.0,1675.6,5690.1
"Puumala",51.2,2117,-0.9,6.5,49.2,44.3,0.1,1.1,-46,30,586,1141,86.3,18.3,67.2,23.5,740,70.4,67.3,9.6,47.4,188.8,594,21.4,16.0,60.4,80.3,1125.9,140.4,2334.1,1571.4,4904.1
"Pyhtää",74.7,5119,-0.1,15.9,56.6,27.6,6.9,2.6,-36,20,1509,2363,93.0,11.7,71.9,28.2,2041,73.1,27.7,12.3,30.8,151.1,1062,5.3,21.6,69.4,52.0,524.1,2765.9,3562.9,1844.1,3556.5
"Pyhäjoki",69.7,3048,-0.1,17.3,53.4,29.3,0.2,4.1,-23,-37,861,1377,94.3,17.0,71.3,20.4,1054,68.5,46.8,14.0,33.0,189.5,929,8.1,40.9,49.1,88.1,1030.8,3589.0,7187.2,2659.1,3758.1
"Pyhäjärvi",54.3,4964,-1.4,14.2,49.7,36.1,0.3,0.8,-76,-4,1364,2520,82.8,23.0,66.7,18.7,1595,64.5,76.1,15.3,41.5,215.5,1455,12.6,17.3,68.2,91.2,422.4,6010.7,10031.0,1965.4,5467.3
"Pyhäntä",55.4,1631,2.4,21.7,55.0,23.3,0.0,5.1,2,-14,411,663,98.2,24.1,67.1,18.0,573,69.9,74.5,10.6,27.9,178.0,714,8.7,68.1,22.3,124.6,300.7,2756.4,6499.7,2223.5,4325.8
"Pyhäranta",41.8,1985,-0.5,14.9,55.4,29.7,0.5,1.6,-18,4,599,953,97.2,7.9,69.0,22.3,804,75.5,25.1,12.2,32.6,148.0,460,5.2,49.8,43.3,57.2,795.4,1040.6,1515.5,1620.9,3369.1
"Pälkäne",56.4,6439,0.4,14.2,55.7,30.1,0.5,2.5,-38,38,1813,3073,88.6,17.6,70.8,25.0,2508,72.9,48.1,10.4,33.4,155.8,1792,12.7,18.7,65.8,71.5,721.3,1485.1,4118.0,1880.7,3916.9
"Pöytyä",51.6,8222,-0.1,17.5,56.5,26.1,0.6,3.9,-44,2,2243,3815,92.6,15.6,66.2,21.1,3268,73.5,46.8,11.4,29.1,151.8,2407,15.3,31.9,50.9,73.7,689.9,2035.2,2747.4,1983.4,3551.3
"Raahe",87.2,24260,-0.4,17.6,55.8,26.6,0.1,2.5,-41,-127,6516,11632,74.8,26.8,72.3,22.7,8436,65.7,85.0,15.8,31.0,188.7,9576,2.3,39.9,57.0,113.5,748.7,7022.5,11574.2,2127.7,3940.4
"Raasepori",77.4,27484,-0.2,14.3,57.6,28.1,64.1,4.0,-123,6,7543,13822,63.1,28.3,68.9,29.4,11103,72.4,72.1,11.7,30.9,147.9,9674,3.8,21.3,72.9,87.1,627.4,4038.4,5026.8,2162.5,3973.7
"Raisio",99.2,24810,1.7,15.6,61.0,23.4,1.4,5.7,-27,296,6863,12217,52.7,22.7,73.6,30.5,10179,70.8,29.7,13.2,27.0,139.8,10342,0.2,25.3,73.4,101.6,566.5,2339.2,3209.4,1771.1,3410.0
"Rantasalmi",39.5,3330,-1.0,11.6,51.9,36.5,0.2,2.4,-41,1,934,1699,83.5,19.8,69.7,21.3,1167,67.3,65.0,14.4,40.6,188.3,943,21.6,16.1,60.2,80.8,811.5,2568.1,3198.9,1936.4,4802.9
"Ranua",49.7,3670,-1.1,17.4,52.2,30.3,0.2,0.9,-25,-20,933,1647,94.8,24.2,65.6,17.5,1205,64.9,82.2,15.6,35.6,208.0,1172,16.0,10.6,71.8,97.3,566.8,817.6,4625.0,2466.9,5123.7
"Rauma",92.8,38959,-0.2,14.1,59.1,26.8,0.3,6.5,-120,-251,10655,20192,56.7,29.6,71.7,29.3,15867,71.2,76.9,11.9,29.4,146.0,16356,1.0,34.0,63.3,103.1,960.3,1289.3,2991.3,1971.6,3675.4
"Rautalampi",47.7,3033,-0.7,11.5,52.0,36.5,0.1,2.0,-39,-2,835,1582,90.9,22.4,67.4,21.0,1030,68.1,63.9,12.0,41.5,196.4,868,16.9,17.5,63.2,84.3,315.4,4111.4,6914.2,1909.9,5212.9
"Rautavaara",44.5,1513,-3.1,9.5,50.3,40.2,0.0,0.5,-34,-13,408,818,91.3,24.9,60.3,12.9,459,58.7,68.6,14.4,47.9,240.1,441,12.7,12.0,73.5,96.1,1642.5,5990.4,9667.5,1718.8,5731.6
"Rautjärvi",49.4,3092,-1.7,8.5,50.5,41.0,0.1,1.9,-55,-8,893,1746,85.3,19.3,65.2,16.9,960,61.5,58.8,19.0,47.2,227.7,890,8.0,39.2,51.5,92.7,94.4,1499.0,3167.8,1800.4,5195.5
"Reisjärvi",44.0,2690,-0.7,18.5,53.3,28.2,0.1,0.6,-14,-14,693,1164,98.0,20.8,64.3,18.3,989,72.1,69.2,9.7,32.4,174.0,922,26.4,21.4,51.0,93.2,893.0,10897.8,11816.6,2052.0,4557.2
"Riihimäki",97.3,28521,-0.7,15.0,61.6,23.4,0.4,3.6,-137,-98,7525,14847,44.8,34.1,72.9,29.0,11977,70.5,48.9,11.5,26.5,139.7,11277,0.3,27.6,71.0,94.2,821.7,2416.9,4365.3,1824.9,3571.9
"Ristijärvi",43.0,1210,-2.0,10.0,50.0,40.0,0.0,1.3,-25,-2,338,637,95.6,22.1,70.7,23.1,432,68.4,46.5,12.6,44.0,185.9,287,17.1,4.2,77.7,66.4,238.1,3749.8,7432.4,1834.0,6585.4
"Rovaniemi",90.3,64180,1.0,16.2,63.4,20.4,0.2,2.6,121,320,16373,33165,49.8,39.5,79.8,34.4,26168,66.9,90.1,14.7,23.8,142.8,25554,1.8,12.9,83.8,97.7,467.0,4232.6,5582.2,2058.7,3656.5
"Ruokolahti",60.7,4913,-0.2,11.8,52.5,35.7,0.2,2.2,-56,42,1473,2519,86.9,16.6,68.3,23.3,1667,66.2,31.7,16.7,40.0,195.3,957,12.0,14.7,70.6,57.4,785.2,3080.9,4158.7,1537.8,4509.5
"Ruovesi",50.9,4155,-1.4,10.6,50.6,38.8,0.3,1.3,-47,-17,1158,2183,82.0,21.6,67.4,21.3,1397,66.7,66.6,13.9,42.3,201.7,1312,12.5,26.1,59.8,93.9,718.1,2483.7,3540.0,1498.2,4752.8
"Rusko",80.7,6379,0.4,20.4,59.6,20.0,1.6,1.8,32,-15,1973,2586,94.0,7.1,76.7,31.9,2874,79.5,23.0,8.8,22.3,121.1,1877,4.7,49.8,43.7,65.3,627.8,1288.5,2102.1,2047.4,2708.8
"Rääkkylä",25.4,2032,-1.6,8.0,48.7,43.4,0.1,2.2,-26,-12,582,1134,96.5,20.2,68.2,17.1,606,59.1,63.0,19.5,47.7,240.9,472,27.1,10.2,59.1,77.9,-583.3,3007.7,5218.8,1271.1,5569.2
"Saarijärvi",58.5,9117,-1.0,13.2,52.7,34.0,0.1,1.0,-96,-8,2455,4731,79.4,24.3,67.5,21.3,2941,62.2,70.5,21.1,37.8,213.1,2729,11.7,18.6,68.0,92.8,629.7,1339.7,5494.5,1743.4,4359.0
"Salla",47.2,3416,0.3,8.6,51.5,39.9,0.3,2.0,-57,51,910,1763,88.6,23.5,67.9,17.8,1118,63.4,78.7,18.6,44.9,204.7,1038,11.3,6.6,80.6,92.8,715.0,3678.3,6083.7,2010.0,6187.8
"Salo",75.0,51400,-0.3,13.5,58.0,28.5,1.2,4.4,-301,-12,14102,26300,71.3,25.3,69.0,26.4,19888,69.1,72.2,14.6,31.8,159.3,17362,5.0,25.4,68.0,87.3,589.7,2117.4,3250.9,1873.0,3817.6
"Saltvik",52.0,1810,0.2,17.3,56.8,25.9,90.9,8.2,6,-12,515,823,98.1,16.3,66.2,21.1,833,80.5,29.2,6.9,25.1,116.8,451,11.1,38.6,43.7,54.1,635.1,1836.7,0.0,2520.5,1864.3
"Sastamala",68.6,23998,-0.2,14.0,55.3,30.7,0.2,2.2,-164,74,6646,12020,76.6,21.6,69.6,23.5,9001,70.4,66.7,11.1,34.7,167.2,7937,7.1,25.6,65.6,88.2,627.5,2578.5,4642.0,1801.4,3942.1
"Sauvo",42.9,2959,0.3,14.9,57.4,27.7,2.7,2.9,-7,10,868,1385,95.8,14.3,71.2,28.0,1225,75.7,36.6,8.2,30.9,140.8,714,21.0,18.5,57.1,58.3,756.6,3435.6,4599.7,1766.1,3132.9
"Savitaipale",52.6,3261,-2.0,10.9,49.7,39.4,0.2,0.9,-75,8,891,1737,90.2,16.7,65.6,20.3,1169,72.4,59.6,11.6,42.2,184.5,975,17.3,14.7,66.1,83.4,659.0,1830.4,3094.1,1829.5,4957.9
"Savonlinna",77.4,32547,-0.4,11.3,55.2,33.5,0.1,2.4,-333,142,8874,17810,59.0,29.8,72.1,25.9,11360,64.9,89.8,17.5,37.4,187.5,11584,5.3,20.4,72.8,102.0,1003.0,3577.3,5951.1,1562.5,4680.2
"Savukoski",39.8,1009,0.0,10.4,56.4,33.2,0.3,0.7,-19,15,277,505,97.6,21.8,70.2,21.4,387,69.2,70.8,17.1,38.5,160.7,346,33.5,5.2,59.8,89.4,272.5,1277.5,2398.4,2995.0,5725.5
"Seinäjoki",91.4,64736,0.9,16.9,62.4,20.7,0.2,2.1,166,306,17075,32570,63.2,35.5,78.3,33.5,28008,72.9,80.7,10.8,23.5,129.0,31519,2.2,22.3,74.4,112.5,594.2,5187.0,9720.4,2020.9,3434.5
"Sievi",49.3,4781,-1.1,24.5,55.5,20.0,0.2,1.5,3,-76,1154,1828,96.7,20.3,68.2,18.0,1731,71.9,62.0,11.6,24.3,179.3,2065,11.4,54.0,33.6,119.3,862.8,4310.7,6987.6,2548.4,4139.6
"Siikainen",29.8,1352,-2.4,11.2,51.0,37.7,0.2,1.2,-30,-2,384,688,97.2,15.1,63.4,15.6,463,67.5,58.7,14.3,41.8,199.1,381,18.9,40.2,38.8,82.3,1075.1,1104.7,1444.0,1811.6,4129.2
"Siikajoki",47.1,5028,-0.1,20.9,53.8,25.3,0.1,1.3,7,-53,1305,2177,97.8,16.7,70.3,18.8,1733,67.4,55.9,13.6,29.6,190.5,1565,22.0,19.6,57.1,90.3,841.7,2280.1,4573.3,2458.1,3821.8
"Siikalatva",47.0,5131,-1.4,14.6,53.6,31.9,0.1,1.1,-48,-39,1362,2523,97.3,19.0,67.8,15.9,1887,70.6,70.9,12.7,36.2,175.7,1714,22.2,19.4,56.7,90.8,67.5,3454.0,7139.3,2053.4,4789.5
"Siilinjärvi",82.2,21293,0.2,19.2,58.9,21.9,0.1,1.0,9,25,6059,9547,78.4,19.2,78.5,32.8,9006,75.2,40.2,9.6,25.0,136.0,6984,3.8,28.8,66.1,77.5,447.6,3809.2,7153.8,2396.0,3594.5
"Simo",52.7,2904,-1.6,13.3,51.5,35.2,0.1,0.6,-43,-3,892,1389,98.1,11.6,69.8,22.3,1003,68.6,39.1,12.8,40.0,194.1,578,8.0,13.8,75.6,57.6,808.5,1638.0,2759.0,1995.6,4299.0
"Sipoo",83.7,22190,2.3,17.8,64.2,18.0,29.2,4.4,19,451,6134,9774,68.3,22.3,74.4,36.4,10264,77.6,29.4,9.9,19.9,111.3,6869,1.8,19.3,76.9,66.9,742.6,5043.3,5682.9,2336.9,2894.0
"Siuntio",48.3,6198,0.8,16.9,63.1,19.9,26.8,5.4,8,26,1808,2670,88.1,15.2,72.2,35.2,2835,77.0,25.2,9.7,22.1,116.9,1335,6.1,16.9,73.1,47.1,614.4,3579.4,4175.2,1920.3,2971.9
"Sodankylä",60.8,8187,-1.0,13.2,57.9,28.9,0.2,1.6,-64,-21,2248,4111,86.5,29.6,74.4,24.7,3478,73.4,85.8,11.3,32.8,137.7,3654,6.5,27.5,65.1,105.1,1196.7,3980.9,7085.5,2032.8,4916.4
"Soini",48.8,1997,-0.5,15.8,51.9,32.3,0.1,1.1,-17,-1,542,928,96.6,19.7,62.5,18.0,712,68.8,69.2,11.0,36.2,181.9,705,13.6,22.0,62.0,99.0,277.5,3176.4,6030.9,1711.5,4607.4
"Somero",57.4,8563,-1.0,12.8,53.9,33.2,0.5,2.8,-110,19,2343,4325,86.9,18.1,64.7,21.1,3194,71.4,63.8,9.6,37.2,170.7,2678,13.9,23.6,59.7,83.8,709.0,2033.3,3073.8,1951.3,4097.8
"Sonkajärvi",43.7,3777,-1.7,11.7,52.5,35.8,0.1,0.6,-48,-21,1076,1936,90.2,23.8,67.8,16.7,1307,66.0,57.9,15.5,41.3,193.9,1160,20.5,15.5,62.6,88.8,1181.7,2278.6,5308.5,1756.6,4564.7
"Sotkamo",60.7,10348,0.5,14.8,57.6,27.6,0.1,2.7,-61,34,2839,5012,79.0,23.9,74.3,26.9,4283,74.6,69.0,7.9,31.5,140.5,4525,6.6,36.3,55.8,105.7,-212.7,2434.4,5450.8,2263.0,4563.1
"Sottunga",0.0,105,4.0,16.2,48.6,35.2,92.4,25.7,-1,-3,26,59,94.9,13.6,70.0,34.4,42,75.0,50.0,4.5,38.6,140.5,22,27.3,9.1,59.1,52.4,-326.7,2950.5,0.0,366.3,2970.3
"Sulkava",42.1,2430,-2.1,8.0,51.1,40.9,0.2,2.2,-45,-6,691,1296,93.3,21.0,64.2,20.1,802,63.5,69.5,16.1,45.3,209.5,733,15.3,17.3,64.4,91.4,937.6,1195.0,2267.1,2126.1,5054.4
"Sund",0.0,1019,1.2,15.2,57.9,26.9,88.7,9.4,-4,10,292,491,95.5,15.8,66.0,20.8,472,80.4,22.2,8.3,25.6,113.3,208,11.1,18.3,65.9,44.1,682.2,1350.5,0.0,2578.0,2105.3
"Suomussalmi",63.0,7508,-1.1,9.9,51.2,39.0,0.1,2.2,-111,-6,2106,3969,79.1,24.2,69.0,17.9,2438,63.6,81.2,16.6,44.7,211.5,2194,10.4,20.3,67.6,90.0,508.6,3037.4,6267.2,1781.4,5430.5
"Suonenjoki",72.3,6891,-0.6,13.1,54.0,32.9,0.1,1.8,-65,15,1876,3639,67.3,28.7,70.3,21.0,2529,69.2,67.0,11.4,37.9,174.1,2380,7.3,27.6,63.5,94.1,435.4,3064.9,7938.7,1879.1,5022.9
"Sysmä",52.3,3584,-1.3,8.1,47.6,44.3,0.2,1.6,-55,-4,976,2052,83.6,21.1,61.6,20.3,1163,67.1,67.5,11.2,47.9,212.2,945,21.1,13.2,63.6,81.3,719.9,927.8,1742.2,1866.2,4690.2
"Säkylä",73.1,6588,-0.9,13.1,54.8,32.2,0.2,2.4,-63,-10,1900,3356,86.8,17.2,69.1,23.6,2666,75.3,59.9,9.2,35.5,149.3,3210,5.7,31.4,61.6,120.4,598.4,1414.1,2783.8,1706.4,4045.0
"Taipalsaari",58.4,4595,-0.7,14.7,58.0,27.3,0.2,2.7,-9,-29,1388,2077,96.0,11.1,75.4,34.5,1877,72.7,25.4,12.2,29.6,146.6,782,8.3,13.4,74.3,41.7,603.3,3342.0,5185.4,1788.5,3400.0
"Taivalkoski",47.2,3913,-0.1,14.7,53.8,31.5,0.1,1.6,-27,22,1048,1828,84.4,23.3,69.0,17.6,1335,65.1,80.7,15.9,37.2,193.3,1239,13.0,18.2,67.7,92.8,1057.2,1523.5,4201.2,2177.5,4648.4
"Taivassalo",37.5,1677,1.1,13.2,52.2,34.6,0.7,4.9,-18,34,486,819,89.6,16.4,65.2,21.9,627,72.9,49.3,10.2,37.9,164.6,452,16.4,23.2,57.5,72.1,1503.9,4594.3,5400.2,1655.8,3616.6
"Tammela",53.0,5967,-0.8,13.9,57.6,28.5,0.3,1.6,-39,-20,1734,2804,88.9,16.0,71.9,27.8,2466,74.8,34.5,9.4,31.4,144.0,1558,12.0,30.4,55.5,63.2,536.9,1562.3,2467.3,1831.8,3504.5
"Tampere",98.6,244223,1.3,13.1,67.7,19.3,0.5,5.2,114,1816,59644,136968,23.4,49.4,79.8,38.3,103625,65.4,78.1,14.7,22.1,132.6,124149,0.2,17.2,81.4,119.8,703.1,3795.4,8936.4,2084.3,3544.2
"Tervo",34.7,1479,-1.6,9.0,50.1,40.9,0.1,1.0,-26,-1,413,784,92.2,18.5,66.8,18.8,533,68.9,48.0,12.9,44.2,182.0,396,19.7,7.1,70.2,74.3,161.7,3878.2,9377.2,1606.8,5773.8
"Tervola",42.2,2882,-1.5,15.5,54.0,30.5,0.1,2.0,-38,-24,781,1438,96.4,22.8,71.6,19.7,1068,69.7,66.2,12.8,34.9,173.9,951,14.3,25.1,58.1,89.0,606.2,985.3,2325.1,2127.9,4616.4
"Teuva",66.1,4952,-0.8,14.0,51.1,34.9,0.7,1.6,-42,-9,1426,2367,95.8,15.7,66.9,17.3,1782,71.8,62.3,11.0,38.4,180.2,1566,16.9,26.6,54.8,87.9,903.9,3698.2,5568.1,1853.2,4335.8
"Tohmajärvi",34.1,4241,-1.5,12.9,52.9,34.2,0.3,2.6,-54,-19,1194,2162,91.4,20.4,68.1,18.3,1415,62.6,58.5,19.1,38.6,204.4,1241,16.0,10.6,72.3,87.7,397.5,2148.1,3924.1,2001.9,4808.9
"Toholampi",51.6,2938,-0.9,18.2,52.7,29.1,0.2,1.8,-18,-14,815,1310,96.0,16.1,65.3,18.9,1069,71.8,68.8,10.2,31.7,177.5,1058,20.3,21.6,56.6,99.0,760.3,5384.4,9730.6,2397.5,3975.4
"Toivakka",42.7,2387,-0.6,18.2,53.1,28.7,0.0,0.8,-9,-4,665,1089,98.1,15.0,71.6,25.7,880,72.3,36.1,12.4,31.7,172.8,528,6.3,32.0,59.1,60.0,972.5,4776.8,7239.5,1979.2,3447.7
"Tornio",87.8,21333,-0.6,16.6,58.4,25.0,0.6,2.7,-84,-130,5808,10296,66.5,29.4,74.6,26.3,8484,70.7,77.2,12.3,28.1,153.0,8579,2.3,40.3,53.9,101.1,572.6,2997.6,5009.5,1861.1,3679.3
"Turku",99.1,195137,0.4,12.5,66.4,21.1,5.5,7.5,-153,-174,47191,110254,24.4,49.9,77.2,35.8,80746,63.9,75.7,15.9,24.0,140.7,98911,0.4,14.6,83.7,122.5,333.9,3666.7,7392.8,1954.9,3654.6
"Tuusniemi",41.3,2420,-0.5,10.0,52.4,37.6,0.1,2.0,-26,7,656,1319,89.2,19.0,67.4,19.2,754,59.3,56.1,16.1,45.9,222.7,617,18.3,17.0,62.1,81.8,326.8,1613.2,3974.1,1488.7,5973.3
"Tuusula",94.3,39718,2.4,17.9,63.7,18.5,1.4,5.0,58,803,11024,17516,68.5,21.5,72.7,33.7,17699,76.4,28.3,10.2,21.2,119.1,14082,0.9,30.7,66.6,79.6,561.4,3388.1,5443.2,2355.1,3099.0
"Tyrnävä",71.5,6593,-0.2,30.1,55.7,14.2,0.3,0.5,59,-83,1615,2332,96.9,14.4,73.4,23.4,2536,75.6,32.4,10.4,16.9,160.4,1381,12.4,18.6,66.9,54.5,491.1,4741.8,5091.6,2356.5,3331.1
"Ulvila",85.2,12669,-0.5,16.3,56.5,27.1,0.3,1.2,-20,-48,3769,5992,83.9,17.3,74.5,28.2,4976,72.0,30.8,12.9,30.1,155.9,3664,3.5,34.5,60.1,73.6,574.7,1847.1,3519.7,1883.5,3555.2
"Urjala",49.2,4669,0.5,12.9,53.5,33.6,0.3,2.2,-44,64,1253,2419,87.5,22.4,65.2,19.4,1661,68.2,55.0,13.8,36.8,179.6,1327,13.1,25.4,58.6,79.9,318.0,2735.6,4444.2,1677.0,4569.6
"Utajärvi",49.7,2568,-1.9,14.2,53.9,31.9,0.0,1.9,-52,-13,696,1245,94.1,18.7,67.8,16.0,880,66.0,61.4,13.6,38.3,197.6,780,12.3,23.3,62.9,88.6,727.0,4150.1,6533.8,2445.6,4513.6
"Utsjoki",28.9,1176,-3.5,12.1,56.5,31.4,0.3,4.3,-4,-39,304,594,91.4,30.8,68.8,27.7,486,70.4,80.7,13.1,32.9,150.8,454,8.6,6.2,78.9,93.4,1032.0,10150.9,11854.0,2993.4,5493.0
"Uurainen",45.7,3634,-0.3,25.3,54.0,20.7,0.1,0.9,20,-42,976,1440,95.3,15.1,72.9,24.5,1347,72.9,35.3,13.3,23.4,170.7,802,9.1,21.8,66.7,59.5,621.8,4642.9,7619.3,2400.7,2984.1
"Nykarleby",61.3,7497,0.2,18.2,55.9,25.9,85.3,7.1,-13,-13,2156,3232,81.2,19.8,68.5,26.1,3189,79.0,70.0,6.2,27.8,134.5,3190,15.2,37.4,46.0,100.0,820.3,6296.3,8309.1,2191.6,3716.1
"Uusikaupunki",77.0,15463,0.6,13.1,57.3,29.6,0.4,6.1,-88,90,4217,8081,63.0,28.1,70.9,23.0,6442,75.2,81.3,10.1,33.0,138.7,8165,3.0,55.7,40.4,126.7,844.1,2838.7,4867.3,1772.0,3930.2
"Vaala",43.8,2673,-2.3,10.8,50.8,38.3,0.0,1.1,-46,-16,739,1424,91.9,22.4,68.5,19.0,851,62.0,72.4,17.8,43.8,221.6,833,16.4,13.7,68.3,97.9,307.6,3158.6,5589.0,2294.8,5483.0
"Vaasa",98.4,67615,0.1,14.7,64.4,20.9,23.4,6.5,35,-459,17253,35406,36.7,41.9,77.4,36.5,27828,66.3,84.4,14.1,23.1,142.7,34621,0.4,26.4,72.1,124.4,930.6,4141.4,9522.4,2611.6,3561.8
"Valkeakoski",88.3,20695,-0.3,15.3,56.5,28.2,0.2,2.7,-94,-54,5710,10437,53.8,25.6,74.5,27.6,7930,70.4,57.2,12.8,30.9,161.9,6584,1.7,35.1,62.1,83.0,691.4,3884.4,6564.9,2404.7,3749.0
"Vantaa",99.7,239206,0.8,16.9,67.4,15.7,2.3,14.3,1181,-1317,62256,116058,33.8,41.9,70.1,31.6,107972,70.3,44.5,14.4,17.8,119.7,110704,0.2,23.4,75.0,102.5,702.9,3820.4,8292.2,2155.2,3115.6
"Varkaus",91.8,19973,-1.5,11.7,55.7,32.6,0.2,2.4,-225,-108,5429,11098,58.1,32.3,72.0,25.6,6928,62.7,78.8,17.5,37.4,192.7,7766,1.6,31.9,65.6,112.1,510.6,4328.2,9266.9,1657.9,4479.1
"Vehmaa",47.3,2271,-0.9,14.6,55.5,29.9,0.6,2.7,-4,-38,626,1122,91.1,17.7,69.0,19.7,954,75.3,43.5,8.6,33.0,140.3,683,18.6,23.0,56.5,71.6,1089.9,7192.0,8231.2,1582.0,4034.5
"Vesanto",39.9,1941,-1.6,9.0,48.5,42.6,0.2,1.1,-40,10,534,1058,94.0,21.3,61.3,16.7,647,68.2,64.0,12.3,47.6,204.8,540,22.0,6.9,69.4,83.5,709.4,3855.5,6877.3,1863.6,5758.1
"Vesilahti",55.6,4444,1.8,18.9,61.9,19.2,0.4,1.4,1,67,1238,1815,97.6,9.9,75.9,32.9,1944,77.6,26.1,8.8,21.4,124.6,846,13.4,12.6,70.4,43.5,707.1,3087.7,3792.8,2033.2,3201.1
"Veteli",54.8,3004,-2.0,15.1,52.6,32.3,1.7,1.6,-32,-28,867,1373,97.1,17.5,69.3,22.0,1183,74.7,61.2,8.7,34.8,159.1,1051,20.0,21.5,56.2,88.8,383.0,5491.0,9568.7,2080.9,4519.7
"Vieremä",38.8,3490,-0.9,14.5,57.6,27.9,0.1,3.1,-45,-7,985,1671,93.2,22.7,70.9,19.5,1394,71.2,68.5,14.1,32.3,152.7,1777,20.3,48.3,30.6,127.5,1232.0,1972.2,8116.1,2140.8,4016.8
"Vihti",75.7,29239,0.3,17.8,61.8,20.4,1.7,4.9,39,-29,8171,13284,74.6,22.8,72.7,31.1,13053,76.2,37.6,10.4,22.7,123.4,7874,2.6,24.4,70.8,60.3,690.8,3511.6,4137.9,2166.2,3129.0
"Viitasaari",58.0,6070,-0.4,11.7,50.8,37.4,0.2,1.3,-37,-4,1665,3209,74.7,24.5,67.5,19.9,2064,67.0,80.9,15.0,41.6,195.4,2193,9.6,22.7,66.4,106.3,549.5,2230.8,7562.7,1919.3,4957.4
"Vimpeli",68.7,2756,-1.0,12.9,55.5,31.6,0.1,1.4,-31,-14,778,1276,94.7,17.4,68.8,22.4,1071,72.1,66.3,8.7,34.9,159.9,958,8.6,37.6,52.8,89.4,797.8,4181.0,7207.6,1615.7,4401.2
"Virolahti",46.5,3040,-1.5,11.5,55.3,33.2,0.6,3.8,-48,-6,890,1543,96.6,20.6,67.6,20.5,1101,67.8,53.6,16.7,37.7,180.4,1178,9.5,7.3,81.2,107.0,814.4,5733.7,9133.1,1877.6,3737.3
"Virrat",51.8,6465,-0.7,11.8,50.3,37.9,0.1,1.9,-95,30,1762,3377,74.6,23.9,67.6,21.8,2194,69.0,77.4,13.5,41.8,196.7,2200,11.2,25.0,62.5,100.3,1021.4,2355.3,4515.1,1945.6,4557.5
"Vårdö",0.0,463,0.7,16.4,55.1,28.5,84.0,13.4,1,-12,127,204,96.1,13.8,65.8,25.3,186,75.5,45.7,8.8,28.3,147.3,123,30.9,10.6,51.2,66.1,737.0,2102.2,0.0,2902.2,2967.4
